scopus,Social Sciences%2c Interdisciplinary,Education \& Educational Research,Materials Science%2c Composites,Materials Science%2c Biomaterials,Green \& Sustainable Science \& Technology,Social Issues,Social Sciences%2c Mathematical Methods,Public Administration,Rheumatology,Entomology,Development Studies,Geriatrics \& Gerontology,Agronomy,Education%2c Scientific Disciplines,Computer Science%2c Interdisciplinary Applications,Evolutionary Biology,Criminology \& Penology,Linguistics,Virology,Statistics \& Probability,Computer Science%2c Software Engineering,Physics%2c Fluids \& Plasmas,Humanities%2c Multidisciplinary,Engineering%2c Electrical \& Electronic,Hospitality%2c Leisure%2c Sport \& Tourism,Nuclear Science \& Technology,Computer Science%2c Artificial Intelligence,Mycology,Construction \& Building Technology,International Relations,Optics,Physics%2c Mathematical,Computer Science%2c Hardware \& Architecture,Operations Research \& Management Science,Physiology,Geography%2c Physical,Health Care Sciences \& Services,Engineering%2c Environmental,Marine \& Freshwater Biology,Chemistry%2c Multidisciplinary,Geochemistry \& Geophysics,Philosophy,Clinical Neurology,Nursing,Infectious Diseases,Psychology%2c Educational,Psychology%2c Multidisciplinary,Rehabilitation,Radiology%2c Nuclear Medicine \& Medical Imaging,History,Genetics \& Heredity,Forestry,Political Science,Area Studies,Toxicology,Orthopedics,History \& Philosophy Of Science,Limnology,Agricultural Economics \& Policy,Chemistry%2c Medicinal,Acoustics,Psychology%2c Mathematical,Agriculture%2c Dairy \& Animal Science,Family Studies,Multidisciplinary Sciences,Fisheries,Meteorology \& Atmospheric Sciences,Psychology,Remote Sensing,Environmental Studies,Social Sciences%2c Biomedical,Ecology,Mathematics%2c Applied,Physics%2c Condensed Matter,Business,Regional \& Urban Planning,Instruments \& Instrumentation,Agriculture%2c Multidisciplinary,Cardiac \& Cardiovascular Systems,Medicine%2c General \& Internal,Metallurgy \& Metallurgical Engineering,Language \& Linguistics,Women's Studies,Psychology%2c Applied,Ethics,Neurosciences,Geography,Urology \& Nephrology,Business%2c Finance,Water Resources,Transportation Science \& Technology,Engineering%2c Aerospace,Medicine%2c Research \& Experimental,Biochemistry \& Molecular Biology,Biochemical Research Methods,Law,Cultural Studies,Transportation,Polymer Science,Engineering%2c Marine,Demography,Management,Veterinary Sciences,Astronomy \& Astrophysics,Engineering%2c Multidisciplinary,Physics%2c Applied,Telecommunications,Engineering%2c Geological,Soil Science,Mathematics,Ophthalmology,Thermodynamics,Oceanography,Gastroenterology \& Hepatology,Nanoscience \& Nanotechnology,Imaging Science \& Photographic Technology,Information Science \& Library Science,Chemistry%2c Physical,Medical Informatics,Microbiology,Respiratory System,Sociology,Mathematics%2c Interdisciplinary Applications,Mechanics,Oncology,Industrial Relations \& Labor,Psychiatry,Plant Sciences,Parasitology,Communication,Art,Engineering%2c Ocean,Health Policy \& Services,Psychology%2c Experimental,Materials Science%2c Multidisciplinary,Environmental Sciences,Robotics,Behavioral Sciences,Energy \& Fuels,Agricultural Engineering,Immunology,Engineering%2c Mechanical,Mathematical \& Computational Biology,Engineering%2c Industrial,Logic,Biology,Computer Science%2c Theory \& Methods,Architecture,Economics,Nutrition \& Dietetics,Biophysics,History Of Social Sciences,Ergonomics,Tropical Medicine,Engineering%2c Manufacturing,Sport Sciences,Geosciences%2c Multidisciplinary,Biodiversity Conservation,Engineering%2c Chemical,Chemistry%2c Analytical,Physics%2c Multidisciplinary,Psychology%2c Clinical,Spectroscopy,Automation \& Control Systems,Computer Science%2c Cybernetics,Social Work,Zoology,Food Science \& Technology,Pharmacology \& Pharmacy,Anthropology,Archaeology,Engineering%2c Civil,Computer Science%2c Information Systems,Public%2c Environmental \& Occupational Health,Engineering%2c Biomedical,Surgery,Psychology%2c Biological,Biotechnology \& Applied Microbiology,Chemistry%2c Applied,Critical Care Medicine,Peripheral Vascular Disease,Psychology%2c Developmental,Dentistry%2c Oral Surgery \& Medicine,Endocrinology \& Metabolism,Substance Abuse,Religion,Paleontology,Gerontology,Cell Biology,Urban Studies,Transplantation,Dermatology,Psychology%2c Social
Dentistry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,,
Earth and Planetary-Sciences,,,,,,,,,,,,,,2,3,,,,,,,,,2,,,2,,,,,,,,,4,,1,21,,3,,,,,,,,,,,,,,,,,3,,,,,,,,20,8,,7,,,7,,,,,,5,,,,,,,,,12,,,7,,,,,,,,,,1,,,,49,,,,,1,,,,41,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,2,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,3,2,,,,,1,,,,,,,,,,,,,,,
Chemical-Engineering,,,,1,,,,,,,,,,,5,,,,,,1,,,8,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,1,,,,,,,,,,7,,,,,,,,8,,,,1,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,1,,,1,,,1,,,,,,1,,,,,,,,,,,1,1,,,1,,,1,1,,,2,,,,,1,,,,,,,,4,1,,,,8,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Business and Management and Accounting,5,1,,,5,1,,3,,,,,,,9,,,,,,2,,,,,,10,,1,,,,,26,,,,5,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,22,2,,,,,,,,1,,,,,7,,8,,,,,,,2,,,,29,,,1,1,1,,,,,,,,,1,4,,,,,1,1,,,1,,,,,,,,,,5,,,,,,,,21,,,2,,31,,,1,,,10,,,,,,,,,,,,,,,,,9,16,,,,,,,,,,,,,,,,,,,,1
Physics and Astronomy,,,,,,,,,,,,,,,9,,,,,2,1,4,,6,,,4,,,,11,11,,,1,,,,,3,,,,,,,,,1,,,,,,,,,,,,2,,,,2,,,,1,,,,3,4,,,7,,,,,,,,,1,,,,,,,,,,,,,,,,,,8,5,11,1,,,1,,,,,2,2,,1,,,,,1,1,,,,,,,,,,,3,,3,,,1,,,,1,,2,2,,2,,1,,,,1,,,,,1,18,,,5,1,,,,,,,,3,,2,,,,,,,,,,,,,,,,,,
Computer-Science,46,8,,,8,,5,1,,,,,,1,215,1,,3,,4,117,,,319,,,413,,5,,23,6,70,80,1,7,3,10,,1,,,,,,,1,,1,,,,1,,,,,,,,,,,,24,,1,,15,5,,1,42,,7,1,14,1,,,,,,,,9,3,,1,9,38,2,,3,8,2,,2,,,,19,,,46,3,126,,,,,,,,3,9,20,,12,,,,44,2,,,,,,4,,,,5,4,16,64,1,6,,,3,19,24,3,4,270,,5,,1,,2,,28,,5,,4,3,1,,,143,55,,,,,,,25,246,2,14,,,5,,,,,,,,,,,,,,,3
Energy,,,,,7,,,,,,,,,,,,,,,,,,,36,,2,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,12,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,12,,,32,,,1,,,,,1,,11,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Health-Professions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,6,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Multidisciplinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematics,,1,1,,,,15,,,,,,,,85,,,,,8,45,12,,42,,,57,,,,9,20,7,31,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,5,,,,1,,,2,59,1,,,4,,,,,,,,,,,,,,6,,2,,8,,,3,,,,9,,,15,1,5,,,6,,1,,,1,5,,,2,,,4,31,3,,,,,,,,,,,1,1,13,,8,,,2,51,4,2,28,47,,7,,,,1,,11,,2,,,,26,,,34,4,,,,,,,1,29,2,1,,,3,,,,,,,,,,,1,,,,
Environmental-Science,,,,,5,1,,3,,1,1,,,,10,7,,,,1,,,,3,,,,,2,,,,,2,,8,,19,8,,,,,,,,,,,,,1,1,,2,,,2,,,,,,,,1,3,,,21,,66,,,1,5,,1,,,,,,,,,9,,,12,4,,,,7,,,3,,,,,,,,,,,1,,,,6,,,,,,,,,1,2,,,,,2,,,,,,,,46,,,5,,,,9,,,8,,,7,,,,,,,,6,10,2,,,,,,,1,,,,,,3,,,,,,1,,,,,,,,,,,,2,,,
Immunology and Microbiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neuroscience,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,9,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
Agricultural and Biological-Sciences,,,,,,,,,,1,,,1,,2,14,,,,,,,,,,,,,,,,,,,,1,,,15,,,,,,,,,,,,5,3,,,,,,2,,,,,1,,7,6,,,,1,,41,,,,,,3,,,,,,,,,,,,1,,,,2,4,,,,,,,,2,,1,,,,1,,,,13,,,,,,,,,,,,,,,6,,,,,,,,7,,6,,,,,15,,,14,,,,,,,,,,,,4,1,,,,,,,,9,2,,,,1,,,,,,1,,,,,,,,,,,,,,,
Nursing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,
Social-Science,47,12,,,16,5,10,6,,,5,,,3,23,,2,3,,2,3,,2,13,1,,11,,4,3,,,2,12,,16,,7,,,,3,,1,,2,3,,,2,,,9,,,,3,,1,,,,,,6,,1,,4,53,2,12,,,1,16,,4,,,,3,,1,1,,33,,6,3,91,,,,,3,1,64,,,13,10,,,2,,4,,,,,,,,,,17,,,,,14,3,,,2,1,,,1,,,,1,,14,,,2,,,2,,3,,,6,1,44,,,1,4,,,,13,,,,,,,,6,3,,2,,11,7,26,17,8,,,,,,,,,,,,,,1,,6,,,2
Psychology,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Veterinary,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pharmacology and Toxicology and Pharmaceutics,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4,,,,,2,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,2,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,5,,,6,,,,,,,,,,,,,,,,,,,,,,,8,,,,,2,,,,,,,,,,,2,,,,,,,,
Materials-Science,,,,1,,,,,,,,,,,2,,,,,1,1,,,14,,,4,,,,10,,1,1,,,,1,,8,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,2,,,,,10,,,1,,,,1,,,,,,,,,,,1,,,,,,,6,,,,,,9,6,5,1,,,,,,,1,2,,3,,,,,,,,,,1,,,,,,,23,,2,,,,,1,,3,,3,4,,1,,,,,,5,,2,,1,,3,,,2,1,,,,,,,2,9,,2,,,,1,,,,,,,,,,,,,,
Engineering,2,5,1,3,10,,2,,,,,,,,75,,,,,3,23,,,315,,,200,,22,,24,1,17,122,1,,6,8,,2,,,,2,,,1,,2,,,,,,,,,,,,1,,,,23,,3,,9,10,,,25,1,3,1,24,,,,2,,,1,,3,,,1,7,154,9,,,5,,,107,,3,,7,,1,75,9,108,1,,,,5,1,,8,14,,,8,,,,35,12,,,,,,,,1,4,,25,12,67,2,36,,,28,2,73,,1,51,4,18,,2,,3,,89,,4,,8,7,2,,,234,41,,,,,,,153,133,9,13,,,,,,,,,,,,,,,3,,,1
Arts and Humanities,4,,,,,,,,,,,,,,,,,2,,,,,1,,,,16,,3,,,,,6,,,,,,,,4,,,,1,,,,3,,,,,,,2,,,,,,,2,1,,,,,1,2,,2,,,,,,,,,2,,,1,1,1,,,,2,,,,,,2,2,,,,1,,,,,,,,2,,,,,,,,,,,,3,,,,,,1,,1,1,,,1,,,,1,,,,,1,,3,,1,2,1,,,4,,,2,,,,,1,,,1,,,,,,,7,9,,6,3,,,1,,1,,,,,,,1,2,,,,,,2
Medicine,3,,,,,,2,,1,,,1,,,4,1,,,1,,,,,2,,,5,,,,,,,2,1,,14,,,1,,,2,,10,,1,1,2,,1,,,,1,1,,,,,,,,,,,,1,,,1,1,,,,,,,9,7,,,1,,,,,3,,,,,2,,1,,,1,,,,1,1,1,,,,,,,1,,,5,1,,2,,10,2,9,,2,,21,,2,,5,1,,,12,,,,,,,,4,,2,2,,1,2,,8,,,,1,6,,,,,,,,2,,,,1,,,5,1,,,2,27,8,10,,,,3,1,1,,3,4,,,2,1,,3,1,
Chemistry,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,2,,,,,5,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,1,,,,,,,,1,3,3,,,,,,,1,1,,,,,,,,,,2,,,,,,,,,,,,,,
Decision-Sciences,4,,,,,,5,,,,,,,,14,,,,,2,3,,,6,,,12,,,,,,1,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,9,,,,,,,4,,,,13,,,,,6,,,,,,,,,,2,,,,,,4,,,,,,,,,,,,,2,,,,,,,,21,,,7,,9,,,,,,18,,,1,,,,,,8,4,,,,,,,,27,,,,,,,,,,,,,,,,,,,,
